,id,Iforest,LOF,FCA,
130,81052-NTFS:\Windows\WinSxS\amd64_microsoft-windows-i..devicescontrolpanel_31bf3856ad364e35_6.3.9600.16384_none_155e2bdf1d18b402\ImagingDevices.exe,1,0,0,1
131,84299-NTFS:\Windows\WinSxS\wow64_microsoft-windows-iis-legacysnapin_31bf3856ad364e35_6.3.9600.16384_none_7c33de64ba5dc639\InetMgr6.exe,1,0,0,1
132,81399-NTFS:\Windows\WinSxS\amd64_microsoft-windows-n..adbalancing-manager_31bf3856ad364e35_6.3.9600.16384_none_93e1a47802f76707\nlbmgr.exe,1,0,0,1
133,72388-NTFS:\Windows\WinSxS\wow64_microsoft-windows-iis-sharedlibraries_31bf3856ad364e35_6.3.9600.16384_none_0bfc7d21bd2a1fbb\iisreset.exe,1,0,0,1
134,32551-NTFS:\Windows\System32\en-US\erofflps.txt,0,1,0,1
135,72650-NTFS:\Windows\WinSxS\x86_microsoft-hyper-v-g..t-installer-support_31bf3856ad364e35_6.3.9600.16384_none_045bf44483c207df\WindowsServer2003-KB943295-x86-ENU.exe,1,0,0,1
136,82050-NTFS:\Windows\WinSxS\amd64_microsoft-windows-security-webauth_31bf3856ad364e35_6.3.9600.16384_none_1c6155ebcae41f1b\AuthHost.exe,1,0,0,1
137,72319-NTFS:\Windows\WinSxS\wow64_microsoft-windows-i..lified-chinese-core_31bf3856ad364e35_6.3.9600.16384_none_1324683e504b4679\IMSCPROP.exe,1,0,0,1
138,73066-NTFS:\Windows\WinSxS\x86_microsoft-windows-tcpip-utility_31bf3856ad364e35_6.3.9600.16384_none_c766b8316a77b7f1\finger.exe,1,0,0,1
139,38111-NTFS:\Windows\WinSxS\amd64_microsoft-hyper-v-vstack-vmwp_31bf3856ad364e35_6.3.9600.16384_none_25feee5133bfaee5\vmwp.exe,1,0,0,1
140,38909-NTFS:\Windows\WinSxS\amd64_microsoft-windows-dedup-service_31bf3856ad364e35_6.3.9600.16399_none_bfb2ea573d6eff90\ddpcli.exe,1,0,0,1
141,85372-NTFS:\Users\Administrator\AppData\Local\Microsoft\Windows\Burn,1,0,0,1
142,38146-NTFS:\Windows\WinSxS\amd64_microsoft-windows-b..vironment-os-loader_31bf3856ad364e35_6.3.9600.16384_none_4be51a3d409de6bc\winresume.exe,1,0,0,1
143,38175-NTFS:\Windows\WinSxS\amd64_microsoft-windows-blb-cli-main_31bf3856ad364e35_6.3.9600.17031_none_3c462f6f62d70947\wbadmin.exe,1,0,0,1
144,41739-NTFS:\Windows\WinSxS\amd64_microsoft-windows-rasrqs_31bf3856ad364e35_6.3.9600.16384_none_5d3e2d4324062d92\rqs.exe,1,0,0,1
145,99-NTFS:\Boot\pt-PT,0,0,1,1
146,42400-NTFS:\Windows\WinSxS\amd64_microsoft-windows-telnet-client_31bf3856ad364e35_6.3.9600.16384_none_a8eff16ff90170fa\telnet.exe,1,0,0,1
147,84169-NTFS:\Windows\WinSxS\msil_microsoft.storagemanagement.oobe_31bf3856ad364e35_6.3.9600.16384_none_983d7c2c96a8e0a1\OemOobe.exe,1,0,0,1
148,72667-NTFS:\Windows\WinSxS\x86_microsoft-hyper-v-g..t-installer-support_31bf3856ad364e35_6.3.9600.16384_none_045bf44483c207df\WindowsServer2003-KB943295-x86-TRK.exe,1,0,0,1
149,86973-NTFS:\Users\Administrator\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012020091820200919,1,0,0,1
150,80505-NTFS:\Windows\WinSxS\amd64_microsoft-windows-audio-audiocore_31bf3856ad364e35_6.3.9600.16384_none_675e2431b896c64e\audiodg.exe,1,0,0,1
151,87093-NTFS:\Users\Administrator\AppData\Local\EmieSiteList,1,0,0,1
152,41731-NTFS:\Windows\WinSxS\amd64_microsoft-windows-rasremrras_31bf3856ad364e35_6.3.9600.16384_none_aae95be8795672a0\remrras.exe,1,0,0,1
153,75550-NTFS:\Users\Administrator\AppData\Local\Microsoft\Feeds\{5588ACFD-6436-411B-A5CE-666AE6A92D3D}~,1,0,0,1
154,42309-NTFS:\Windows\WinSxS\amd64_microsoft-windows-t..lipboardredirection_31bf3856ad364e35_6.3.9600.16384_none_f29470addf193129\rdpclip.exe,1,0,0,1
155,72396-NTFS:\Windows\WinSxS\wow64_microsoft-windows-iis-sharedlibraries_31bf3856ad364e35_6.3.9600.16384_none_0bfc7d21bd2a1fbb\iissetup.exe,1,0,0,1
156,72649-NTFS:\Windows\WinSxS\x86_microsoft-hyper-v-g..t-installer-support_31bf3856ad364e35_6.3.9600.16384_none_045bf44483c207df\WindowsServer2003-KB943295-x86-CSY.exe,1,0,0,1
157,38126-NTFS:\Windows\WinSxS\amd64_microsoft-windows-autofmt_31bf3856ad364e35_6.3.9600.16384_none_d6b29ce893251e4c\autofmt.exe,1,0,0,1
158,43929-NTFS:\Windows\WinSxS\amd64_storage-ux-drives_31bf3856ad364e35_6.3.9600.16384_none_d5f739737097c370\AddNewHardDriveWizard.exe,1,0,0,1
159,39307-NTFS:\Windows\WinSxS\amd64_microsoft-windows-f..overcluster-clussvc_31bf3856ad364e35_6.3.9600.16521_none_aabdebce7554dab7\clussvc.exe,1,0,0,1
160,34294-NTFS:\Windows\WinSxS\wow64_microsoft-windows-p..ll-preloc.resources_31bf3856ad364e35_6.3.9600.16384_en-us_bcc55cb4a9c56555\default.help.txt,0,1,0,1
161,84981-NTFS:\Users\Administrator\AppData\Local\Temporary Internet Files,1,0,0,1
